uplink_message_frm_payload,received_at,uplink_message_rx_metadata_0_rssi,uplink_message_rx_metadata_0_snr,uplink_message_rx_metadata_0_channel_rssi,humidity_avg,humidity_min,humidity_max,temp_avg,temp_min,temp_max,0,received_at_td_seconds,received_at_td_minutes,seconds_since_now
AAAcDQAAG/gAABxC,2026-01-04 10:43:58+00:00,-72,10.2,-72,0.0,71.81,0.0,71.6,0.0,72.34,,,,211860.315118
AAAcAQAAG9IAABww,2026-01-04 10:44:10+00:00,-72,14.2,-72,0.0,71.69,0.0,71.22,0.0,72.16,,12.0,0.2,211848.315118
AAAcMgAAHCQAABxA,2026-01-04 10:44:22+00:00,-67,11.0,-67,0.0,72.18,0.0,72.04,0.0,72.32,,12.0,0.2,211836.315118
AAAcJgAAHBEAABwt,2026-01-04 10:44:34+00:00,-66,14.0,-66,0.0,72.06,0.0,71.85,0.0,72.13,,12.0,0.2,211824.315118
AAAbtAAAG5QAABvd,2026-01-04 10:44:46+00:00,-69,12.0,-69,0.0,70.92,0.0,70.6,0.0,71.33,,12.0,0.2,211812.315118
AAAbegAAGzoAABud,2026-01-04 10:44:58+00:00,-71,13.8,-71,0.0,70.34,0.0,69.7,0.0,70.69,,12.0,0.2,211800.315118
AAAbLgAAGyIAABsz,2026-01-04 10:45:10+00:00,-67,11.0,-67,0.0,69.58,0.0,69.46,0.0,69.63,,12.0,0.2,211788.315118
AAAbFwAAGwIAABtI,2026-01-04 10:45:23+00:00,-70,13.5,-70,0.0,69.35,0.0,69.14,0.0,69.84,,13.0,0.21666666666666667,211775.315118
AAAbQwAAGzsAABtW,2026-01-04 10:45:35+00:00,-69,13.8,-69,0.0,69.79,0.0,69.71,0.0,69.98,,12.0,0.2,211763.315118
AAAbLAAAGyQAABs2,2026-01-04 10:45:47+00:00,-75,13.5,-75,0.0,69.56,0.0,69.48,0.0,69.66,,12.0,0.2,211751.315118
AAAa+wAAGuIAABsk,2026-01-04 10:45:59+00:00,-77,14.0,-77,0.0,69.07,0.0,68.82,0.0,69.48,,12.0,0.2,211739.315118
AAAa8AAAGuUAABr5,2026-01-04 10:46:11+00:00,-76,14.2,-76,0.0,68.96,0.0,68.85,0.0,69.05,,12.0,0.2,211727.315118
AAAa+QAAGvcAABr9,2026-01-04 10:46:23+00:00,-78,10.5,-78,0.0,69.05,0.0,69.03,0.0,69.09,,12.0,0.2,211715.315118
AAAbCwAAGv0AABsW,2026-01-04 10:46:35+00:00,-78,14.5,-78,0.0,69.23,0.0,69.09,0.0,69.34,,12.0,0.2,211703.315118
AAAbGwAAGw8AABtA,2026-01-04 10:46:48+00:00,-72,14.2,-72,0.0,69.39,0.0,69.27,0.0,69.76,,13.0,0.21666666666666667,211690.315118
AAAbUgAAGy0AABt6,2026-01-04 10:47:00+00:00,-73,14.0,-73,0.0,69.94,0.0,69.57,0.0,70.34,,12.0,0.2,211678.315118
AAAbDAAAGv4AABst,2026-01-04 10:47:12+00:00,-76,8.5,-76,0.0,69.24,0.0,69.1,0.0,69.57,,12.0,0.2,211666.315118
AAAa7AAAGuQAABr+,2026-01-04 10:47:24+00:00,-73,13.8,-73,0.0,68.92,0.0,68.84,0.0,69.1,,12.0,0.2,211654.315118
AAAbFwAAGusAABso,2026-01-04 10:47:36+00:00,-72,13.5,-72,0.0,69.35,0.0,68.91,0.0,69.52,,12.0,0.2,211642.315118
AAAbFQAAGwQAABsj,2026-01-04 10:47:48+00:00,-71,13.5,-71,0.0,69.33,0.0,69.16,0.0,69.47,,12.0,0.2,211630.315118
AAAa+QAAGtoAABsE,2026-01-04 10:48:00+00:00,-72,10.5,-72,0.0,69.05,0.0,68.74,0.0,69.16,,12.0,0.2,211618.315118
AAAa1gAAGtAAABry,2026-01-04 10:48:13+00:00,-72,14.5,-72,0.0,68.7,0.0,68.64,0.0,68.98,,13.0,0.21666666666666667,211605.315118
AAAa6QAAGtwAABr4,2026-01-04 10:48:25+00:00,-76,14.0,-76,0.0,68.89,0.0,68.76,0.0,69.04,,12.0,0.2,211593.315118
AAAa4gAAGtsAABrr,2026-01-04 10:48:37+00:00,-73,13.8,-73,0.0,68.82,0.0,68.75,0.0,68.91,,12.0,0.2,211581.315118
AAAa0AAAGsYAABrf,2026-01-04 10:48:49+00:00,-76,8.8,-76,0.0,68.64,0.0,68.54,0.0,68.79,,12.0,0.2,211569.315118
AAAaxQAAGsIAABrG,2026-01-04 10:49:01+00:00,-74,14.0,-74,0.0,68.53,0.0,68.5,0.0,68.54,,12.0,0.2,211557.315118
AAAawgAAGr4AABrI,2026-01-04 10:49:13+00:00,-73,9.8,-73,0.0,68.5,0.0,68.46,0.0,68.56,,12.0,0.2,211545.315118
AAAalgAAGmAAABq+,2026-01-04 10:49:25+00:00,-74,14.0,-74,0.0,68.06,0.0,67.52,0.0,68.46,,12.0,0.2,211533.315118
AAAaRwAAGjYAABpg,2026-01-04 10:49:38+00:00,-75,13.8,-75,0.0,67.27,0.0,67.1,0.0,67.52,,13.0,0.21666666666666667,211520.315118
AAAaKwAAGicAABoy,2026-01-04 10:49:50+00:00,-77,13.2,-77,0.0,66.99,0.0,66.95,0.0,67.06,,12.0,0.2,211508.315118
AAAaSAAAGiAAABpi,2026-01-04 10:50:02+00:00,-78,10.5,-78,0.0,67.28,0.0,66.88,0.0,67.54,,12.0,0.2,211496.315118
AAAaRgAAGggAABqb,2026-01-04 10:50:14+00:00,-77,13.5,-77,0.0,67.26,0.0,66.64,0.0,68.11,,12.0,0.2,211484.315118
AAAaNwAAGi4AABo7,2026-01-04 10:50:26+00:00,-75,11.2,-75,0.0,67.11,0.0,67.02,0.0,67.15,,12.0,0.2,211472.315118
AAAaCAAAGe8AABoe,2026-01-04 10:50:38+00:00,-74,13.8,-74,0.0,66.64,0.0,66.39,0.0,66.86,,12.0,0.2,211460.315118
