received_at,device_id,rssi,snr,raw_payload,version,bmp_temperature_avg,bmp_temperature_max,bmp_temperature_min,sht_temperature_avg,sht_temperature_max,sht_temperature_min,sht_humidity_avg,sht_humidity_max,sht_humidity_min,bmp_pressure_avg,bmp_pressure_min,bmp_pressure_max,light_intensity_avg,light_intensity_max,light_intensity_min,wind_direction,wind_pulses_max,wind_pulses_min,wind_pulses_total,rain_pulses,voltage_bat,wind_speed_kmh_avg,wind_speed_kmh_max,rain_mm,received_at_td_seconds,received_at_td_minutes,seconds_since_now,battery_percentage
2026-06-01 00:00:34+00:00,cubecell,-74,14.0,BQBBAAAAAAAACTsJOwk8AJqBIgCaf5EAmoKSDMYMvAzPCLcItQi6FtsW0xbiAAAQQg==,5,23.63,23.64,23.63,22.31,22.34,22.29,58.51,58.58,58.43,101256.02,101259.7,101252.01,327.0,327.9,326.0,65,0,0,0,0.0,4.162,,,,,,3691324.282694,97
2026-06-01 00:05:38+00:00,cubecell,-74,10.8,BQBBAAAAAAAACTsJOwk8AJqBSgCaf5EAmoOLDMQMuQzOCLcItAi6FucW3xbxAAAQQg==,5,23.63,23.64,23.63,22.31,22.34,22.28,58.63,58.73,58.55,101256.42,101262.19,101252.01,326.8,327.8,325.7,65,0,0,0,0.0,4.162,,,,304.0,5.066666666666666,3691020.282694,97
2026-06-01 00:10:41+00:00,cubecell,-73,14.0,BQBBAAAAAAAACTsJOgk8AJqAngCafqwAmoLhDMUMuwzNCLcItQi5FuoW4RbzAAAQQg==,5,23.63,23.64,23.62,22.31,22.33,22.29,58.66,58.75,58.57,101254.7,101260.49,101249.72,326.9,327.7,325.9,65,0,0,0,0.0,4.162,,,,303.0,5.05,3690717.282694,97
2026-06-01 00:15:44+00:00,cubecell,-74,13.2,BQBBAAAAAAAACTkJOQk7AJp+/wCafPIAmoFrDMQMvAzOCLcItAi5FuwW4Bb5AAAQQg==,5,23.61,23.63,23.61,22.31,22.33,22.28,58.68,58.81,58.56,101250.55,101256.75,101245.3,326.8,327.8,326.0,65,0,0,0,0.0,4.162,,,,303.0,5.05,3690414.282694,97
2026-06-01 00:20:47+00:00,cubecell,-76,13.5,BQBBAAAAAAAACTkJOQk6AJp9ZQCae4YAmn+aDMYMuwzQCLYItAi6FuoW3hbzAAAQQg==,5,23.61,23.62,23.61,22.3,22.34,22.28,58.66,58.75,58.54,101246.45,101252.1,101241.66,327.0,328.0,325.9,65,0,0,0,0.0,4.162,,,,303.0,5.05,3690111.282694,97
2026-06-01 00:25:50+00:00,cubecell,-73,13.8,BQBBAAAAAAAACTgJNwk5AJp+swCafKIAmoGzDMUMuAzRCLYIswi5FvAW6hb8AAAQQg==,5,23.6,23.61,23.59,22.3,22.33,22.27,58.72,58.84,58.66,101249.79,101257.47,101244.5,326.9,328.1,325.6,65,0,0,0,0.0,4.162,,,,303.0,5.05,3689808.282694,97
2026-06-01 00:30:53+00:00,cubecell,-74,14.0,BQBBAAAAAAAACTcJNwk4AJqB6ACaf7gAmoUUDMcMvAzQCLUIswi4FvAW6xb2AAAQQg==,5,23.59,23.6,23.59,22.29,22.32,22.27,58.72,58.78,58.67,101258.0,101266.12,101252.4,327.1,328.0,326.0,65,0,0,0,0.0,4.162,,,,303.0,5.05,3689505.282694,97
2026-06-01 00:35:56+00:00,cubecell,-76,13.5,BQBBAAAAAAAACTYJNQk3AJqEkgCagrYAmoYDDMcMugzPCLUIswi3FvkW7hcHAAAQQg==,5,23.58,23.59,23.57,22.29,22.31,22.27,58.81,58.95,58.7,101264.82,101268.51,101260.06,327.1,327.9,325.8,65,0,0,0,0.0,4.162,,,,303.0,5.05,3689202.282694,97
2026-06-01 00:40:59+00:00,cubecell,-75,13.0,BQBBAAAAAAAACTUJNAk2AJqFAQCag28Amoe7DMUMvgzOCLQIsQi3FwoXAhcSAAAQQg==,5,23.57,23.58,23.56,22.28,22.31,22.25,58.98,59.06,58.9,101265.93,101272.91,101261.91,326.9,327.8,326.2,65,0,0,0,0.0,4.162,,,,303.0,5.05,3688899.282694,97
2026-06-01 00:46:03+00:00,cubecell,-74,13.8,BQBBAAAAAAAACTUJNAk2AJqETACagawAmocdDMUMuQzSCLUIsgi3FwoXAxcRAAAQQg==,5,23.57,23.58,23.56,22.29,22.31,22.26,58.98,59.05,58.91,101264.12,101271.33,101257.4,326.9,328.2,325.7,65,0,0,0,0.0,4.162,,,,304.0,5.066666666666666,3688595.282694,97
2026-06-01 00:51:06+00:00,cubecell,-74,13.5,BQBBAAAAAAAACTQJNAk2AJqD7ACagesAmoWIDMcMvQzVCLQIsgi2FwYW/xcMAAAQQg==,5,23.56,23.58,23.56,22.28,22.3,22.26,58.94,59.0,58.87,101263.16,101267.28,101258.03,327.1,328.5,326.1,65,0,0,0,0.0,4.162,,,,303.0,5.05,3688292.282694,97
2026-06-01 00:56:09+00:00,cubecell,-75,13.0,BQBBAAAAAAAACTQJNAk1AJqDVQCagNsAmoStDMYMvAzTCLMIsAi2FwcXABcMAAAQQg==,5,23.56,23.57,23.56,22.27,22.3,22.24,58.95,59.0,58.88,101261.65,101265.09,101255.31,327.0,328.3,326.0,65,0,0,0,0.0,4.162,,,,303.0,5.05,3687989.282694,97
2026-06-01 01:01:12+00:00,cubecell,-75,13.8,BQBBAAAAAAAACTMJMwk1AJqCZwCagI8AmoQlDMYMtwzQCLMIsAi1FwwXBRcRAAAQQg==,5,23.55,23.57,23.55,22.27,22.29,22.24,59.0,59.05,58.93,101259.27,101263.73,101254.55,327.0,328.0,325.5,65,0,0,0,0.0,4.162,,,,303.0,5.05,3687686.282694,97
2026-06-01 01:06:15+00:00,cubecell,-74,12.0,BQBBAAAAAAAACTMJMgk0AJqBpACaf9UAmoPWDMYMvAzSCLIIsAi0FxMXDBcYAAAQQg==,5,23.55,23.56,23.54,22.26,22.28,22.24,59.07,59.12,59.0,101257.32,101262.94,101252.69,327.0,328.2,326.0,65,0,0,0,0.0,4.162,,,,303.0,5.05,3687383.282694,97
2026-06-01 01:11:18+00:00,cubecell,-74,13.8,BQBBAAAAAAAACTIJMgkzAJqBgwCafrgAmoNhDMcMugzVCLIIrwi0FxcXEhccAAAQQg==,5,23.54,23.55,23.54,22.26,22.28,22.23,59.11,59.16,59.06,101256.99,101261.77,101249.84,327.1,328.5,325.8,65,0,0,0,0.0,4.162,,,,303.0,5.05,3687080.282694,97
2026-06-01 01:16:21+00:00,cubecell,-75,13.5,BQBBAAAAAAAACTEJMQkzAJp+FACae9EAmn/YDMUMswzVCLEIrwi0FxkXFRccAAAQQg==,5,23.53,23.55,23.53,22.25,22.28,22.23,59.13,59.16,59.09,101248.2,101252.72,101242.41,326.9,328.5,325.1,65,0,0,0,0.0,4.162,,,,303.0,5.05,3686777.282694,97
2026-06-01 01:21:24+00:00,cubecell,-75,13.0,BQBBAAAAAAAACTEJMAkyAJp9+wCafIEAmn/ODMYMvQzSCLEIrwi0Fx0XFRclAAAQQg==,5,23.53,23.54,23.52,22.25,22.28,22.23,59.17,59.25,59.09,101247.95,101252.62,101244.17,327.0,328.2,326.1,65,0,0,0,0.0,4.162,,,,303.0,5.05,3686474.282694,97
2026-06-01 01:26:27+00:00,cubecell,-73,14.2,BQBBAAAAAAAACS8JLwkxAJp80ACaefkAmoAGDMUMuQzPCLAIrgiyFyYXHxcwAAAQQg==,5,23.51,23.53,23.51,22.24,22.26,22.22,59.26,59.36,59.19,101244.96,101253.18,101237.69,326.9,327.9,325.7,65,0,0,0,0.0,4.162,,,,303.0,5.05,3686171.282694,97
2026-06-01 01:31:31+00:00,cubecell,-73,13.8,BQBBAAAAAAAACS8JLgkwAJp7ggCaebQAmn0tDMUMuwzXCK8IrQizFyoXJhcwAAAQQg==,5,23.51,23.52,23.5,22.23,22.27,22.21,59.3,59.36,59.26,101241.62,101245.89,101237.0,326.9,328.7,325.9,65,0,0,0,0.0,4.162,,,,304.0,5.066666666666666,3685867.282694,97
2026-06-01 01:36:34+00:00,cubecell,-75,13.5,BQBBAAAAAAAACS8JLgkwAJp8mwCaetsAmn6TDMcMugzWCK8IrgixFy8XKRc5AAAQQg==,5,23.51,23.52,23.5,22.23,22.25,22.22,59.35,59.45,59.29,101244.43,101249.47,101239.95,327.1,328.6,325.8,65,0,0,0,0.0,4.162,,,,303.0,5.05,3685564.282694,97
2026-06-01 01:41:37+00:00,cubecell,-74,13.8,BQBBAAAAAAAACS4JLgkvAJp8/wCaeycAmn6qDMYMugzSCK8IrQiyFzEXKhc2AAAQQg==,5,23.5,23.51,23.5,22.23,22.26,22.21,59.37,59.42,59.3,101245.43,101249.7,101240.71,327.0,328.2,325.8,65,0,0,0,0.0,4.162,,,,303.0,5.05,3685261.282694,97
2026-06-01 01:46:40+00:00,cubecell,-73,13.8,BQBBAAAAAAAACS0JLQkvAJp+EACafBIAmn+yDMYMtwzTCK4IrAixFzkXLhdFAAAQQg==,5,23.49,23.51,23.49,22.22,22.25,22.2,59.45,59.57,59.34,101248.16,101252.34,101243.06,327.0,328.3,325.5,65,0,0,0,0.0,4.162,,,,303.0,5.05,3684958.282694,97
