received_at,rssi,snr,version,bmp_temperature_avg,bmp_temperature_max,bmp_temperature_min,sht_temperature_avg,sht_temperature_max,sht_temperature_min,sht_humidity_avg,sht_humidity_max,sht_humidity_min,bmp_pressure_avg,bmp_pressure_min,bmp_pressure_max,light_intensity_avg,light_intensity_max,light_intensity_min,wind_direction,wind_pulses_max,wind_pulses_min,wind_pulses_total,rain_pulses,voltage_bat,wind_speed_kmh_avg,wind_speed_kmh_max,rain_mm,received_at_td_seconds,received_at_td_minutes,seconds_since_now,battery_percentage
2026-07-12 21:55:00+00:00,-71.0,14.0,5.0,19.68,19.71,19.64,20.13,20.38,19.72,68.63,69.6,67.92,101845.97,101850.67,101838.81,0.3,0.8,0.0,207.0,4.0,0.0,96.0,0.0,4.24,1.1552,2.888,0.0,303.0,5.05,69913.282694,100.0
2026-07-12 22:00:00+00:00,-71.0,14.2,5.0,19.55,19.64,19.49,19.77,20.18,19.5,69.64,70.33,68.24,101848.84,101853.03,101844.19,0.3,0.6,0.0,207.0,4.0,0.0,104.0,0.0,4.24,1.251466667,2.888,0.0,303.0,5.05,69610.282694,100.0
2026-07-12 22:05:00+00:00,-70.0,10.8,5.0,19.42,19.49,19.34,19.59,19.96,19.38,70.12,70.87,68.28,101845.14,101851.64,101839.71,0.3,0.7,0.0,207.0,3.0,0.0,32.0,0.0,4.238,0.3850666667,2.166,0.0,303.0,5.05,69307.282694,100.0
2026-07-12 22:10:00+00:00,-69.0,14.0,5.0,19.25,19.34,19.19,19.49,20.15,19.03,70.54,71.86,68.69,101844.84,101848.78,101840.5,0.3,0.7,0.1,195.0,7.0,0.0,97.0,0.0,4.238,1.167233333,5.054,0.0,303.0,5.05,69004.282694,100.0
2026-07-12 22:15:00+00:00,-71.0,14.2,5.0,19.21,19.23,19.2,19.85,20.15,19.64,69.33,69.87,68.46,101844.57,101849.3,101838.45,0.3,0.7,0.0,185.0,5.0,0.0,83.0,0.0,4.238,0.9987666667,3.61,0.0,303.0,5.05,68701.282694,100.0
2026-07-12 22:20:00+00:00,-71.0,14.2,5.0,19.14,19.2,19.08,19.62,19.86,19.31,69.74,70.52,69.23,101845.09,101850.0,101838.55,0.3,0.6,0.1,185.0,2.0,0.0,14.0,0.0,4.238,0.1684666667,1.444,0.0,303.0,5.05,68398.282694,100.0
2026-07-12 22:25:00+00:00,-70.0,13.5,5.0,19.0,19.07,18.94,19.38,19.63,19.07,70.45,71.03,69.78,101847.21,101854.35,101843.13,0.3,0.8,0.0,186.0,5.0,0.0,45.0,0.0,4.238,0.5415,3.61,0.0,304.0,5.066666666666666,68094.282694,100.0
2026-07-12 22:30:00+00:00,-69.0,13.0,5.0,18.86,18.94,18.78,19.07,19.33,18.9,71.61,72.3,71.08,101841.77,101850.49,101834.86,0.3,0.7,0.0,186.0,1.0,0.0,4.0,0.0,4.238,0.04813333333,0.722,0.0,303.0,5.05,67791.282694,100.0
2026-07-12 22:35:00+00:00,-72.0,9.8,5.0,18.69,18.78,18.62,19.07,19.39,18.73,71.82,72.68,70.83,101836.09,101841.09,101830.89,0.3,0.8,0.0,186.0,4.0,0.0,60.0,0.0,4.238,0.722,2.888,0.0,303.0,5.05,67488.282694,100.0
2026-07-12 22:40:00+00:00,-71.0,14.2,5.0,18.61,18.66,18.59,19.36,19.65,19.04,70.9,72.23,69.85,101830.88,101837.12,101825.09,0.3,0.8,0.1,191.0,7.0,0.0,152.0,0.0,4.238,1.829066667,5.054,0.0,303.0,5.05,67185.282694,100.0
